"cv_0","pa","lon","lat","PC1","PC2","PC3","PC4","PC5"
4,1,-48.951111,-15.714167,0.36467033624649,-0.402282118797302,-1.32707905769348,0.57649827003479,0.62665206193924
2,1,-47.56,-15.554722,-0.297504723072052,-0.251915663480759,-1.49660813808441,0.762714385986328,0.512682318687439
3,1,-47.870556,-15.950278,-0.276670724153519,-0.137635424733162,-1.34045624732971,0.929324328899384,0.47236379981041
3,1,-47.816667,-15.85,-0.153217390179634,-0.129741758108139,-1.40244877338409,0.742375373840332,0.571661472320557
1,1,-47.847222,-15.8725,-0.204933062195778,-0.250557005405426,-1.32426846027374,0.816335380077362,0.509193003177643
3,1,-47.9,-15.930833,-0.21444308757782,-0.239057317376137,-1.33239150047302,0.908479332923889,0.486060291528702
1,1,-47.5625,-15.4375,-0.245483666658401,-0.479074269533157,-1.38364005088806,0.768296003341675,0.520476520061493
4,1,-48.05,-16.05,-0.112791493535042,-0.361334353685379,-1.37425744533539,0.815623223781586,0.506960391998291
4,1,-52.65,-17.816667,0.406789243221283,-0.64322829246521,-0.407273530960083,1.48458611965179,0.501764833927155
2,1,-53.166667,-18.466667,0.303051918745041,-0.4453384578228,-0.294207692146301,1.37075161933899,0.473590105772018
2,1,-52.333333,-15.083333,0.224416270852089,-1.84956097602844,-0.458120256662369,1.32835114002228,0.346595257520676
2,1,-44,-18,-0.721621572971344,0.209275543689728,-1.68651270866394,1.19763326644897,0.777929306030273
1,1,-47.8853,-15.9353,-0.242266908288002,-0.213852897286415,-1.31062269210815,0.902491629123688,0.476135700941086
3,1,-47.88,-15.93,-0.261121302843094,-0.137771442532539,-1.33180975914001,0.890819728374481,0.484227865934372
4,1,-46.966667,-18.808611,0.278321832418442,0.405500262975693,-1.46382892131805,1.84919691085815,0.81286209821701
1,1,-47.6136,-16.7686,-0.242755308747292,0.0262858755886555,-1.51658606529236,1.24292588233948,0.173507660627365
4,1,-47.933333,-15.95,-0.226044684648514,-0.129416391253471,-1.3412994146347,0.902418971061707,0.491037487983704
4,1,-47.56254,-14.07196,0.112680993974209,0.0721762403845787,-1.77638125419617,1.05157947540283,0.52034866809845
4,1,-47.5204435053496,-14.7036987783623,0.0457956865429878,-0.673676550388336,-1.3676586151123,0.777300357818604,0.603707730770111
2,1,-47.5039,-14.104,0.202448636293411,-0.234627082943916,-1.60745584964752,1.02859234809875,0.538849592208862
